tfidf_similarity,skill_match_pct,experience_years,education_level,total_skills_count,label
0.041586405699451025,25.2055198121378,2,1,7,Weak Match
0.6718535433736996,80.689109781725,5,4,10,Strong Match
0.08942953315140643,19.420947636535175,1,3,8,Weak Match
0.5315730336131452,69.27435389010158,4,4,16,Strong Match
0.5196713662654354,84.52032230855922,3,4,10,Strong Match
0.2593556722280862,0.0,2,2,4,Weak Match
0.22801611588196063,12.284757760940247,2,2,4,Weak Match
0.6251430653465625,83.65762028563195,9,5,20,Strong Match
0.6213335525320282,80.92424653790295,5,3,12,Strong Match
0.1872450879622466,40.13385916296817,0,2,1,Weak Match
0.6336186949926349,72.47233474848255,7,4,6,Strong Match
0.4653725297892947,42.46527679535167,4,2,7,Moderate Match
0.28071225966373103,10.317445603546377,2,3,8,Weak Match
0.9672897509858385,99.06409010931846,4,5,16,Strong Match
0.1329379790923355,38.70958360077194,1,2,5,Weak Match
0.23080505395041023,17.30021719093851,1,2,6,Weak Match
0.2721562505126144,19.229603513862774,3,1,7,Weak Match
0.7500591420415051,82.1573785139637,3,4,15,Strong Match
0.47406830366771313,68.08092289200201,0,3,10,Moderate Match
0.13052868689109418,17.088610742642754,0,2,2,Weak Match
0.10838080845187575,12.018133501234663,1,1,7,Weak Match
0.34872461553359274,15.039361103559484,1,3,6,Weak Match
0.32437068207816727,59.513138535382005,5,4,11,Moderate Match
0.059368253632816614,21.002733128455663,0,3,5,Weak Match
0.6192333789383069,70.80728825467173,0,3,10,Strong Match
0.5109918556005361,29.280676709634193,1,3,7,Weak Match
0.2859587886979802,17.354432202525825,1,2,1,Weak Match
0.3694051958474338,51.64224300611976,5,4,7,Moderate Match
0.6615449539482364,70.89127290913358,2,4,10,Strong Match
0.42132814809963665,46.86445823459437,2,2,13,Moderate Match
0.3448499229892926,17.68277625053097,0,2,5,Weak Match
0.24037300903366096,21.709652723309006,0,3,1,Weak Match
0.3804348109786743,19.709154499272415,2,1,2,Weak Match
0.4034758128076819,56.002115470148674,3,4,15,Moderate Match
0.6643898768625045,72.41124295715692,5,2,7,Strong Match
0.44725583252413414,38.00976874787125,1,4,10,Moderate Match
0.31210306673244714,22.002484779018367,1,2,5,Weak Match
0.7573089078717605,95.70427460339462,7,4,13,Strong Match
0.5560391924984007,61.13252029778788,0,4,13,Moderate Match
0.722520460995931,86.18343565553957,4,4,13,Strong Match
0.002070018962421227,30.974923073410405,0,2,11,Weak Match
0.6934836480560133,85.3700004005211,6,3,11,Strong Match
0.2514254756017835,28.86468930056973,1,3,3,Weak Match
0.26721757142594704,44.175094138197764,3,5,8,Moderate Match
0.7695337112323798,87.86472191993388,9,4,10,Strong Match
0.7380472543771449,82.10107170932591,9,5,11,Strong Match
0.7796056983613479,76.34082838594578,6,5,13,Strong Match
0.8317536142939438,67.92938972132833,4,4,17,Strong Match
0.16839271439729503,29.389253797253698,3,2,3,Weak Match
0.489747454164115,77.68183349460939,5,5,13,Strong Match
0.7823215817089406,96.39286695603093,4,4,16,Strong Match
0.41306661180563997,55.068104587295146,3,5,8,Moderate Match
0.7271062120817385,78.16715150295535,4,4,13,Strong Match
0.2825098264667635,11.594437411469197,0,2,1,Weak Match
0.6228140658539367,42.53050777117022,6,3,4,Moderate Match
0.7754524169115925,80.38871634688164,3,4,12,Strong Match
0.49909509224020254,62.64507639917158,3,4,16,Strong Match
0.7316493059217648,89.62373988639467,3,4,12,Strong Match
0.51274025856426,43.9681999448599,2,5,14,Moderate Match
0.6121902394381971,83.90303005807807,1,5,18,Strong Match
0.3072978047766012,50.36646993543233,0,1,5,Weak Match
0.4469967649505827,63.44872818880402,5,4,9,Moderate Match
0.8331729081413833,56.18254071711961,1,3,12,Moderate Match
0.2271495310825648,28.61771530287428,2,3,1,Weak Match
0.6636989217474354,57.442385650909465,8,4,18,Strong Match
0.7662380855674604,67.3937107655864,5,4,9,Strong Match
0.2363631882624968,32.64264868116761,0,1,5,Weak Match
0.6323560041939436,80.59750307498369,5,3,22,Strong Match
0.4626450607375152,33.323643071145135,1,3,4,Moderate Match
0.33744380931708173,0.0,6,3,5,Weak Match
0.36399645293713934,30.905529892862706,1,1,4,Weak Match
0.17587423453814577,30.070884414432772,4,2,2,Weak Match
0.48591510964877904,70.22437805158317,6,3,6,Moderate Match
0.48705996151187564,75.83100922489334,3,5,10,Moderate Match
0.5331726728715773,54.47018177388115,2,2,9,Moderate Match
0.5965240434630423,60.14936784856062,2,2,7,Moderate Match
0.46926887772598375,52.042644282147805,3,4,11,Moderate Match
0.7478459924829163,60.62298790203211,1,3,13,Strong Match
0.09141748711148145,30.15247939547804,0,3,6,Weak Match
0.26687416555925125,8.899589486328228,0,3,7,Weak Match
0.804930232254657,71.25039868926879,6,5,16,Strong Match
0.8053937853706667,64.50429489794557,1,5,15,Strong Match
0.12415046652999306,19.235191429530794,0,3,8,Weak Match
0.47435076250215596,30.779582390038755,6,5,7,Moderate Match
0.3356005670089545,53.717384423927136,6,3,8,Moderate Match
0.7124785083272194,89.46170784601486,2,4,11,Strong Match
0.49424079706474816,46.49325662741695,3,4,9,Moderate Match
0.29653974845911707,36.83356866167461,1,2,3,Weak Match
0.44743592467818766,41.539036491930474,0,4,11,Moderate Match
0.505196657152694,42.51198482347051,7,3,7,Moderate Match
0.24477169258102774,3.1494861751780086,0,1,5,Weak Match
0.09706284918179285,5.767956569877587,0,3,3,Weak Match
0.15169389483165607,23.761516143826594,3,3,4,Weak Match
0.46359244926453175,31.864108303556865,4,2,14,Moderate Match
0.13836385919605226,17.497643436112757,1,3,6,Weak Match
0.03836893915634121,9.355810970243748,0,3,10,Weak Match
0.578008978480107,53.52921386687879,4,4,20,Strong Match
0.627918292453434,88.46784764064813,5,5,10,Strong Match
0.04018756481162525,27.546071992983315,4,1,5,Weak Match
0.8186283005250268,79.04456481885805,4,4,6,Strong Match
0.30312716798852923,52.47716855562916,1,3,4,Moderate Match
0.09849058081721314,12.269709865475942,0,2,6,Weak Match
0.5443782062241458,81.55344332477492,5,4,13,Strong Match
0.4149826477301347,30.1153286782468,4,3,8,Moderate Match
0.6080538080807838,50.3470406221249,0,2,12,Moderate Match
0.7336220814301497,85.94556809425255,8,3,22,Strong Match
0.395612634080727,61.749424264394015,4,3,13,Moderate Match
0.45186948570977614,36.652148783467176,0,5,6,Moderate Match
0.4145518307833165,54.3584536677746,5,2,12,Moderate Match
0.6511605591743717,71.4376927051153,4,3,11,Strong Match
0.8055598116206866,75.11609522210239,4,4,15,Strong Match
0.1486786433528415,19.256801015919777,0,1,4,Weak Match
0.16776795307886602,36.60590224990596,3,3,3,Weak Match
0.9828546750971974,66.11356409843174,3,4,11,Strong Match
0.24395012306202266,31.34723804214537,2,4,4,Weak Match
0.3591845893716647,32.09465066561419,6,3,8,Moderate Match
0.6466940166532881,75.48781139707017,1,4,13,Moderate Match
0.5628925425585859,38.24517649046366,2,4,6,Moderate Match
0.7497864703560403,72.48766920551707,2,4,10,Strong Match
0.78850686128318,91.62678768216719,7,4,12,Strong Match
0.5697612131831583,11.452424705288351,7,3,12,Moderate Match
0.7532318911048346,44.567837179115514,2,4,11,Moderate Match
0.4280524270674192,71.24826986807459,1,2,7,Moderate Match
0.6356188289848935,77.58013811403646,9,3,21,Strong Match
0.571178050721116,42.365895167511866,7,4,8,Moderate Match
0.5656904601946029,68.65258684494496,0,4,11,Moderate Match
0.07792875740858414,15.90231762823227,1,2,9,Weak Match
0.47374929401551774,42.880147949397724,2,3,10,Moderate Match
0.5169042444342217,96.35460383352736,4,3,9,Strong Match
0.5013968516649179,49.37998028993632,4,4,16,Moderate Match
0.6342778298368359,100.0,6,3,16,Strong Match
0.6710309552374139,53.542505577865754,2,2,12,Strong Match
0.3059936384046622,29.404071394920372,2,1,8,Weak Match
0.13907492494261084,44.35257772446524,3,2,9,Moderate Match
0.6572732375377153,90.58811071004267,3,3,7,Strong Match
0.48574946405729974,76.17857885957301,6,4,11,Strong Match
0.5271267311841052,70.60813542185404,3,4,8,Moderate Match
0.8149238336451656,67.08735054246313,8,3,16,Strong Match
0.6597891547698556,88.9848254124249,5,3,16,Strong Match
0.21294401203753546,38.84930448653744,2,2,10,Moderate Match
0.7185303872583703,67.23294754217002,5,3,17,Strong Match
0.6520713229749443,45.57562031983484,5,3,8,Moderate Match
0.055035478030146995,10.937682242496244,0,2,5,Weak Match
0.6869937963418027,50.376946023172984,1,5,20,Strong Match
0.2803542603714024,50.442835141118195,1,2,12,Moderate Match
0.6336900998812437,69.06266592376244,2,4,9,Moderate Match
0.7561856810800335,77.58345876353708,2,5,17,Strong Match
0.42711811190839843,55.04406022451612,4,3,9,Moderate Match
0.3421838421850755,52.394536203167796,2,4,10,Moderate Match
0.24384757388097275,22.23539989232788,2,3,3,Weak Match
0.733310710765184,64.18807707093237,5,3,12,Strong Match
0.7606195688993297,73.01654503319038,6,5,14,Strong Match
0.8506740716360839,78.77136022914556,2,3,16,Strong Match
0.6936393734594986,82.28535085814096,8,3,10,Strong Match
0.16793323744428085,43.54253627094786,1,3,6,Weak Match
0.054244850053506946,18.28949107540164,0,3,9,Weak Match
0.6525254964910833,65.84602655598691,5,3,8,Strong Match
0.4414078488703123,51.47888868886222,4,3,11,Moderate Match
0.21838495447536949,43.60613417813025,3,2,3,Weak Match
0.6205205986893513,71.27782751763637,6,4,13,Strong Match
0.7303907744967479,76.13187317529504,7,4,15,Strong Match
0.3213433185617272,11.101093231075497,3,4,1,Moderate Match
0.21647608412365169,22.610652422272217,1,2,4,Weak Match
0.8138187446132772,63.15659146946302,1,4,15,Strong Match
0.3533433701296326,4.912514170598259,1,2,6,Weak Match
0.22612505312338563,17.568674329045564,1,1,6,Weak Match
0.533920388272064,78.82275569767233,2,4,10,Strong Match
0.5734987620034773,80.50636314005706,0,3,14,Strong Match
0.3192507512477975,0.6569489919217979,1,2,4,Weak Match
0.8202830534478169,64.44351774410859,6,5,4,Strong Match
0.805680059291051,83.67885149488254,4,3,7,Strong Match
0.8496936870665546,88.00706585458686,6,4,7,Strong Match
0.22634872153310598,25.530689548161924,1,1,2,Weak Match
0.728587948466327,72.2681106388186,6,4,18,Strong Match
0.7222102055027462,98.1172477473034,5,4,17,Strong Match
0.6653469436221345,44.7534418134936,3,3,12,Moderate Match
0.03375080119643257,34.39055445209989,3,1,3,Weak Match
0.4555723857787379,32.96201402628113,4,4,15,Moderate Match
0.7569362122670471,57.477979288120494,1,4,14,Strong Match
0.09723248590740419,37.18849409037641,0,3,6,Weak Match
0.022696753179311857,37.1430580085679,0,2,3,Weak Match
0.2232551122865363,45.667711530512925,0,1,11,Moderate Match
0.20599326302663284,25.328523255498304,3,1,1,Weak Match
0.42488115874177607,42.63298165876117,5,2,14,Moderate Match
0.23476764835383365,16.153257230637372,0,2,1,Weak Match
0.7927211941614767,62.6348477700446,9,2,20,Strong Match
0.2441940649569409,8.915211070685848,3,2,5,Weak Match
0.7023531142197433,68.09403363848986,4,4,11,Strong Match
0.37493247581885647,57.54124946812372,3,3,7,Moderate Match
0.4440643548417081,61.44747289033245,0,3,9,Moderate Match
0.2887290837266742,12.840566749857022,1,3,4,Weak Match
0.3395683810789957,15.253983681060374,1,1,2,Weak Match
0.13248217250256186,20.265775951413787,0,2,1,Weak Match
0.4481628180992405,60.110080994415235,3,2,12,Moderate Match
0.6243725693435428,84.92486552616649,4,4,11,Strong Match
0.40450467108150157,49.14987495856693,1,2,7,Moderate Match
0.6979219996376784,78.22120719678472,5,3,10,Strong Match
0.9557670159499667,78.42316262366074,3,4,13,Strong Match
0.6509234608514671,79.46411777574434,11,4,18,Strong Match
0.23615035252061017,8.27528551215206,1,2,4,Weak Match
0.25752050161065665,28.007988656574515,1,2,3,Weak Match
0.6301816156132135,96.61382370627028,5,5,14,Strong Match
0.43442151603198886,52.613360607707534,2,4,15,Moderate Match
0.6244061372541241,74.11401004022997,1,3,8,Moderate Match
0.5417327552355633,81.2046031904311,7,4,18,Strong Match
0.41626796485368545,77.16761137589332,4,2,10,Moderate Match
0.414292379596801,71.25989538636267,2,3,8,Moderate Match
0.722941220911073,83.97597949494539,8,5,22,Strong Match
0.015381213776190616,10.84586967769108,0,2,4,Weak Match
0.012482753035425544,23.380312949769007,1,3,5,Weak Match
0.48970562786573485,63.66940546252494,0,3,12,Moderate Match
0.6587980321374303,74.76150077647955,2,3,15,Strong Match
0.43798151082240566,49.14856749752248,1,2,8,Moderate Match
0.6907311465790947,80.86105007290956,5,4,10,Moderate Match
0.46700602963678856,84.47061355974373,3,3,8,Moderate Match
0.2043602446372454,42.34061248516904,0,2,2,Weak Match
0.30701502383164275,21.68174488901128,0,2,2,Weak Match
0.31243855283775746,56.236896513346466,1,3,9,Moderate Match
0.11567534046838086,48.05131260997376,1,2,6,Weak Match
0.5410714307744118,55.93667993557126,3,3,6,Moderate Match
0.3732514999485092,48.77560175431159,2,3,1,Weak Match
0.42924647280918926,75.96391872199281,0,1,13,Moderate Match
0.7950800817318007,67.7141093230046,2,4,13,Strong Match
0.5442960190380999,57.956405864989506,1,3,8,Moderate Match
0.6828544272823212,81.91359626690542,1,5,13,Strong Match
0.18687430329076954,22.922222595505218,1,2,5,Weak Match
0.30748818971645847,56.33748994317838,4,3,8,Moderate Match
0.1338017822203391,27.11064647431643,1,2,6,Weak Match
0.4868888037370921,63.420320975550155,4,2,8,Moderate Match
0.6368508485687214,88.79519850519901,5,4,16,Strong Match
0.6705747640653039,72.14872531113008,3,4,12,Strong Match
0.8003607058596046,82.39917895316218,2,3,9,Strong Match
0.18099609649985057,17.710654926274874,1,4,1,Weak Match
0.6477952065324724,100.0,4,3,17,Strong Match
0.39011906857530076,21.27207023422455,0,1,1,Weak Match
0.1776534017628148,17.80819844658163,1,2,7,Weak Match
0.2586693801475275,16.301156120529708,2,1,5,Weak Match
0.7715541862959103,80.49225224595733,5,3,9,Strong Match
0.6092120104666915,61.779784732604,2,5,10,Strong Match
0.671604879088324,60.17499459456349,2,4,12,Moderate Match
0.2089580681255249,19.631938956312087,1,2,8,Weak Match
0.5788358099831726,37.628785808245155,3,2,12,Moderate Match
0.2104355937523213,11.214591420122462,0,2,7,Weak Match
0.7588900763273754,73.3790126350042,3,4,18,Strong Match
0.2696954404510736,17.99416612292788,3,3,4,Weak Match
0.8106469470990907,84.01100625149257,2,4,17,Strong Match
0.7947419918816998,65.18855484740887,4,4,16,Strong Match
0.6664182057519574,88.27678553188167,5,3,14,Strong Match
0.5453117615546192,34.43994807563051,3,2,10,Moderate Match
0.4781057679043824,73.70700689939707,1,4,8,Moderate Match
